Catégorie de produits,Produit,Quantité restante,Prix de vente unitaire,Valeur marchande,Prix d'achat moyen,Valorisation,Code EAN,Type de stock,Taux de TVA
Color Sublime Revlon ,RP RVL COLOR SUBLIME 9.24 75ml/2.65oz,5,0,,13.55,67.75,8007376050464,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 10 75ml/2.65oz,5,0,,13.55,67.75,8007376050082,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 011 75ml/2.65oz,5,0,,13.55,67.75,8007376050099,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME 10.04 75ml/2.65oz,5,0,,13.55,67.75,8007376050259,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME DEV 15 VOLUME 900ml,6,0,,11.55,69.3,8007376049963,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME DEV 25 VOLUME 900ml,8,0,,11.55,92.4,8007376049970,Stock technique,20.00 %
Color Sublime Revlon ,RP RVL COLOR SUBLIME DEV 35 VOLUME 900ml1,2,0,,11.55,23.1,8007376049987,Stock technique,20.00 %
MAGNET,RP MAGNET BLONDES 9 POWDER 750g,4,0,,58.65,234.6,8432225126777,Stock technique,20.00 %
MAGNET,RP MAGNET BLONDES 7 POWER 750 g,0,0,,,,8432225134338,Stock technique,20.00 %
MAGNET,MAGNET CLAY 8 POWDER 400gr,6,0,,40.8,244.8,8432225141916,Stock technique,20.00 %
MAGNET,RP MAGNET  BLONDES DEVEL.20VOL 900ml,2,0,,13.6,27.2,8007376048676,Stock technique,20.00 %
MAGNET,RP MAGNET  BLONDES DEVEL.30VOL 900ml,4,0,,13.6,54.4,8007376048683,Stock technique,20.00 %
MAGNET,RP MAGNET TECHNICAL ADDITIVE 300ml,1,0,,32.9,32.9,8432225126784,Stock technique,20.00 %
MAGNET,ANTI POROSITE,3,0,,18.25,54.75,8432225132877,Stock technique,20.00 %
MAGNET,MAGNET POST TECHNICAL SHAMPOO 1000ml,1,0,,32,32,8432225136547,Stock technique,20.00 %
MAGNET,VITALITYS Kit color off 100 ml + 100 ml + 200 ml,2,0,,,,8012603018940,Stock technique,20.00 %
MAGNET,Magnet ultimate oil silver,2,35,70,17.85,35.7,8432225141909,Stock revente,20.00 %
